RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
1782,Houston County,Georgia,375,126500,118e3,115e3,112200,118300,123400,125600,122500,121400,111200,114500,113600,125200,127300,126400,120500,114700,117900,122e3,125800,125300,121800,130800,133600,142900,133300,127600,120300,119700,122300,123700,123400,122600,117600,127e3,126200,137400,130200,130800,124500,118600,119700,121100,118200,117300,112700,121500,118200,115700,114500,113300,111700,106800,101900,105500,110100,121800,117300,115900,109300,112800,111200,112100,113200,112600,108700,99e3,98700,95400,103900,102300,102500,102900,104800,110500,109e3,110900,110600,114600,114100,112900,106300,105e3,105300,116400,117600,118500,112900,112900,117500,116600,116800,116700,118e3,125100,124500,13e4,126100,126100,122600,121500,119600,119300,120700,125100,119100,120600,119800,126400,125e3,123400,130800,134e3,137800,135200,135e3,132e3,135700,146400,150400,148100,139e3,138400,136600,134100,136800,141e3,146800,148800,145400,153500,153600,159200,155300,153200,154100
1821,Johnson County,Indiana,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159800,160600,159500,157e3,160200,160200,159700,160600,159400,161500,160900,166200,166300,175100,173200,176200,167200,166e3,165200,165500,174200,174600,179e3,179100,183900,182700,184300,184900,186900,183900
701,Rowan County,North Carolina,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107e3,105900,104500,105200,104300,102400,99200,102900,93700,95300,97e3,1e5,104700,95600,97400,93100,96300,103500,108200,103700,98200,100100,104900,104400,98e3,103500,106600,115e3,104700,106600,104100,112600,109400,117500,114400,113300,104100,106400,109100,112400,111600,111300,113100,121500,120900,119400,117800,123600,123300,120600,116600,115600,117e3,114300,116500,116500,120600,120200,120400,120400,124600,122200,120400,122300,116700,121200,119300,125100,129100,129800,134500,133600,131500,133800,134800,138700,128300,129800,133600,148700,150400,150800,144500,140600
446,Clark County,Ohio,378,,,,,,,,,,,,,,,,,,77500,79100,86500,88400,86300,84900,74500,73400,72700,74500,75700,71300,71200,64300,63400,65e3,64300,63200,53500,58400,59400,67700,63700,69e3,69400,74300,73500,73100,71700,67100,68900,73500,78100,75600,72200,70100,77200,75700,75600,70700,71700,73200,73200,69900,66700,67900,73e3,76300,79600,78400,77700,75100,80800,80500,84200,78100,82800,83e3,85900,85600,84e3,86100,83900,86700,80800,81400,73e3,78500,81e3,87100,88900,85400,85800,81e3,85100,87400,90600,91400,90800,94e3,91300,94700,92400,94200,92300,95400,97300,105400,106900,106200,98800,98600,96200,97900,93900,96700,97e3,100600,100400,96400,93500,93800,98900,103200,106200,103800,100200,100500,98300,101200,98500,105800,107300,108e3,109900,111800,118e3,114600,115100
3168,Indian River County,Florida,379,177200,172600,171e3,169500,165400,167500,162400,163100,153100,15e4,136400,138600,135300,136100,131800,132700,133600,131e3,132900,130700,134e3,121600,130700,12e4,126400,109300,111900,113200,121800,123300,116e3,114400,112600,118300,115200,115100,111300,113400,117400,119900,117700,121e3,119e3,117800,110600,110400,120400,116300,119300,115100,125400,125300,119700,114300,118500,129e3,129700,136200,142100,146500,140100,132e3,126100,126200,123600,142900,142400,14e4,127300,129e3,130500,133e3,137500,138400,141700,134800,135900,127500,14e4,145600,152600,151e3,153900,153e3,153400,152700,157700,16e4,159200,162100,164e3,179400,180600,174500,164300,163300,167900,166600,166900,171800,177600,182600,179200,181500,184500,188500,187100,183100,186600,186800,195100,196800,203800,201e3,199800,196700,192200,198300,200800,212700,206600,211400,206600,207800,204500,210900,213e3,214100,215400,218100,22e4,210700,217700,218700,229400,220200
1218,Monroe County,Indiana,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173700,182100,177500,196100,185e3,184700,166500,167100,167500,173100,173600,173700,184e3,185900,191e3,173400,180900,177900,182600,181700,181500,185e3,183900,189100,194500,198500,193e3,203e3,200100,202800,195400,199200,
3164,Hampton City,Virginia,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131900,137600,141200,141500,137600,140400,142800,151300,146100,142800,138600,142300,144300,142200,141900,144600,145100,145700,142e3,143e3,143700,150900,149200,149600,144900,145200,143400,146500,150600,153800,153700,159400,159600,157500,147800,15e4,155600,160700,156800,153100,151600,156400,156900,162300,161e3,166600,165800,167600,170700
2266,Florence County,South Carolina,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121700,130900,130200,128400,125900,128300,123200,123400,120400,125700,128600,127e3,126200,122e3,123400,124100,124300,120600,119e3,118100,126200,128600,132800,129900,127400,123500,120200,117200,117900,122600,124700,130600,129100,136500,129900,130800,127400,127300,118900
2923,Dorchester County,South Carolina,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191500,190400,191500,207400,210100,212200,206900,208500,210700,208600,208200,209e3,209700,209400,208500,207600,210400,222300,228300,232500,225100,223800,217200,217500,213600
255,Napa County,California,384,488400,470300,463400,440700,417900,425400,428600,426200,398900,387900,380900,355300,332900,309200,323200,331300,339900,346e3,346500,351500,350700,361e3,402500,381700,366300,323300,338100,357100,36e4,378100,362100,354800,317300,315500,318300,334e3,333e3,331700,327e3,332200,321300,334100,330400,332100,309700,311600,328900,339800,339300,327700,332200,337100,355700,364800,366800,376800,373200,376500,370900,398800,411400,419200,418400,450900,457800,486800,462500,472900,452400,461800,462100,456400,480900,474100,497800,486100,507600,505e3,518100,515400,530400,507400,512800,485300,502600,516800,542100,557600,564600,569800,583e3,577200,579800,562400,548100,550900,557200,576100,577900,577600,574100,574800,582900,591500,591800,6e5,62e4,632300,641600,637700,631600,625800,61e4,627700,617e3,625700,617800,637e3,656200,656200,650900,630300,632600,655200,670800,704e3,688200,679e3,657800,,,,,,,
