RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
60565,07055,New Jersey,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155600,148600,155800,164200,160400,145400,139100,150200,171800,175800,184400,199900,208900,208300,195700,188200,188900,182e3,191500,194400,192200,220700,215600,226900,196400,205800,206500,205700,224100,233400,260100,240800,220400,196100,186100,190300,201600,201100,200600,21e4,212900,231100,207800,223900,219400,240500,25e4,245e3,222600,219100,230200,250700,221200,193900,193900,212200,246e3,247600,218600,207800,211500,217200,194400,190700,224700,241800,237500,236e3,249e3,262200,259600,268e3,260800,260800,251300,278600,298400,282600,279e3,260200,284600,
90669,75071,Texas,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252800,250800,264700,263e3,260800,260500,262400,264200,266300,260100,261700,260800,267900,273200,272e3,278800,285300,286700,287e3,272300,269700,271400,282e3,296e3,299e3,302100,290900,292200,292500,295300,296900,295200,304100,308200,312e3,309700,317600,314200,320100,299800,299e3,293100,300200,319900,310900,
67120,22030,Virginia,490,449500,424900,421500,428700,420800,423100,419400,421500,392300,376900,374100,392800,391200,364700,353800,355600,389400,415100,424300,429400,424e3,420200,417500,414800,436e3,434900,439800,421600,418200,424600,428900,431700,405100,406200,415500,426800,420400,413900,418100,424300,420900,428e3,445300,452500,449800,44e4,448100,443200,444900,435500,455800,450900,460400,465700,488300,489400,483600,459e3,456800,453900,452300,464100,462400,475600,470400,481100,485500,478300,488200,495500,501900,495400,505300,506e3,514e3,497200,490100,478e3,486100,505600,500400,487400,476400,481200,495300,503100,508400,507300,501800,499700,488500,507200,502400,505600,477700,476600,470800,475900,482100,493e3,504100,497e3,493200,491900,501300,511e3,514900,520800,518700,502700,489900,488900,500400,516400,524800,521900,520300,516600,529800,529900,514200,497600,511600,540200,561300,548200,552500,556900,563400,573700,567e3,541300,
96728,92201,California,491,272900,256700,236e3,225e3,204100,201800,191600,189300,178500,162300,148500,134200,135500,137800,137500,138e3,129800,131100,134200,143600,147e3,151400,151300,153100,150800,151400,146900,141300,134400,145400,146900,150100,140100,139600,137700,137500,137400,138500,131100,130900,119500,124400,124500,134900,138700,134e3,137800,132700,138200,135200,136500,138800,129200,127500,130700,142800,150900,157200,164100,165100,170300,172500,178900,175700,177300,175e3,182100,189800,191300,203200,200300,216600,196600,204700,195e3,203800,209e3,204500,208800,200700,208900,201600,211100,211700,223e3,217900,221500,221700,219400,222400,216900,223300,234200,236800,238100,225600,225e3,226500,227500,231200,235600,246100,251200,249e3,244300,251600,254700,264200,263100,259200,253700,254700,246100,249400,246800,259600,263300,272900,273600,267700,263800,280900,288600,295800,285900,301400,304100,300900,288200,283100,290900,29e4,284800
72531,33312,Florida,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124800,128300,132800,119500,126700,118900,121700,116e3,121300,123700,121800,125300,115100,117400,115800,123e3,133900,134800,141300,134800,139100,141700,143700,139200,135400,134800,138800,137600,140700,145400,153100,161300,172200,183400,194400,193300,187900,186800,179100,184600,186800,190400,190800,189100,189700,185800,190400,194300,204200,192e3,206800,201300,207200,207100,204e3,205300,186400,188900,184200,191e3,190800,201900,205300,214200,215400,224700,224200,222700,227700,226700,232200,222600,231e3,232300,240400,246100,248200,243600,249600,248700,251800,249400,245200,246700,242600,248900,249400,244800,262e3,264200,275400,264100,272e3,277900,279e3,275700,278400,304700,,,
93435,80504,Colorado,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297800,302900,304200,31e4,304500,300900,300500,301900,305e3,311300,323500,326400,327800,329800,344400,346600,351400,351300,347500,344600,344100,359200,369500,372e3,373300,367500,378400,380100,389e3,382700,391800,403900,412400,412500,404800,400900,394400,400100,418800,418300,422400,408900,428300,42e4,435400,416400
71039,30319,Georgia,494,371e3,364100,352100,335100,344500,338600,388600,386e3,426500,372100,375300,321900,328e3,319100,294900,303500,299900,320300,327900,325300,320400,307e3,325300,343500,353600,332800,326200,321700,358200,366100,364800,339300,360500,345e3,374600,348200,344600,324900,319100,332700,311300,297800,290400,299600,279300,282200,285500,304e3,313300,308200,302700,282700,275700,282e3,300500,308700,315500,327200,319500,324300,314300,335e3,339900,349400,348900,346500,340600,355200,378400,401500,407200,394900,381100,359100,361200,361800,358500,368700,382100,383100,364600,340700,344200,340300,349400,352300,354300,363900,380300,393500,382e3,367300,369300,383500,382700,376e3,376e3,384400,402500,401300,387500,363500,369900,399700,417600,412400,410800,421500,429700,425400,42e4,412e3,423200,435100,457200,442300,437600,437600,493e3,519100,507600,463300,431900,438100,454200,460500,467500,445700,443e3,437800,451100,476500,
84460,60402,Illinois,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103100,94700,104800,100900,110400,97500,91100,96100,108900,118700,112700,115300,113800,118900,118500,121e3,115400,124900,132700,139e3,134800,135600,142400,139700,136400,134100,144900,151900,154500,152200,149500,151400,149200,153900,158200,162900,170200,164e3,158800,149e3,157300,162700,163e3,153800,153900,159800,162700,167700,170100,173600,174400,176600,179300,176800,178800,197e3,200900,196100,177200,172900,178500,183700,186200,187500,185400,180400,177700,180300,203200,201400,206100,201500,211800,206e3,203700,194600,202500,195500,197200,194900,200800
86716,65202,Missouri,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131100,133600,135200,139900,140900,140300,141500,138500,144300,14e4,142200,134900,134600,132900,134400,137e3,138900,138400,132200,133700,134700,135200,134800,137700,14e4,14e4,144900,147100,145100,138e3,139e3,139500,143100,144400,145500,141300,142700,143600,144200,144700,145600,146800,145600,142800,142e3,143200,142600,143e3,142700,144e3,142900,141200,142300,143e3,145100,145100,146800,143700,144400,144e3,146400,148600,151300,153700,151200,151800,152900,159600,168500,170900,169300,157400,153200,153100,152700,155500,153300,151300,153400,154800,159400,152900,
93460,80538,Colorado,497,191100,192e3,200200,199100,199900,196200,195900,201600,200900,201700,210300,210200,215900,2e5,198700,192800,193300,194900,193500,190700,191100,197900,210100,204400,203300,190200,199800,197e3,207500,205900,206100,204100,197100,190300,185700,193200,201500,200200,195500,188e3,189300,195400,204700,204800,215900,208400,210300,186200,193800,183900,198e3,189200,197500,190700,192900,196400,204700,207900,207400,204300,210800,212500,213700,210100,209900,212100,212e3,211e3,215200,216900,225100,220600,221500,218500,222500,226900,229600,232100,235700,240600,239800,245500,243800,247700,243200,248700,252200,256900,264e3,266100,266e3,260700,261900,268200,274400,280300,281500,284900,283500,285400,286400,289600,297800,302900,307200,304300,305100,312800,317500,321200,320700,32e4,323300,323800,325500,328200,334700,335800,344100,339e3,351600,344100,348500,339400,339300,336100,334900,336e3,342e3,347e3,350300,352e3,361500
72585,33418,Florida,498,331900,344800,337e3,357500,348e3,364900,346400,382700,336200,305500,236500,213500,222100,272e3,284300,295e3,270500,296300,288400,310300,287e3,284300,230700,231200,239e3,259300,262400,251500,237400,244100,227900,275400,277800,286600,245600,208400,184800,196e3,208e3,242200,231e3,230600,213100,229100,234300,232700,233100,224600,235900,234400,284e3,282200,281500,248300,255900,255500,245800,243900,239100,258200,266500,273400,269e3,264400,267400,275500,271800,285900,29e4,307e3,299500,283400,273300,276600,299800,324100,326600,337200,326e3,313600,300200,286300,287e3,282400,298100,297700,308200,303100,312700,297100,314400,316800,327900,319200,321700,327200,310400,299500,298600,302700,308600,303100,309400,359200,365800,372700,327100,297400,303300,317400,345600,344900,322500,333300,386400,401700,399500,342300,349800,319900,341300,347700,379800,348900,333200,347100,375700,433800,410600,422e3,380400,379900,
86020,63366,Missouri,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174500,175400,176600,172800,177100,182600,187800,183400,187100,186e3,182500,183700,187200,194400,185400,194100,188500,193700,178700,188500,186500,194500,188500,191500,190400,189600,193800,202e3,201e3,198200,190900,196900,202100,206200
72907,33914,Florida,500,299900,277300,235100,222900,216900,176400,172600,162500,158300,148800,141200,139100,135e3,128400,121200,118400,121200,121900,132300,135400,138500,132100,137100,143e3,140900,131700,130800,126700,124500,119800,118800,123200,120400,128e3,133600,144500,145200,135900,130500,126900,136100,146e3,154600,152700,142e3,147600,165e3,166100,167600,154700,163e3,164200,166400,161600,156100,161600,154300,177600,182500,206100,188900,192400,182100,198900,187700,192900,178600,183900,188700,189200,185700,182900,185900,193500,206400,208700,205300,211100,221e3,218900,208400,199100,207600,203300,218200,216900,222500,212500,222600,225400,225500,216300,211900,218500,228e3,228700,221200,217100,217800,215200,217300,210700,217700,225100,236e3,247500,247400,246600,248e3,248700,257500,26e4,267900,270900,269400,275600,267400,264600,257300,275e3,283e3,279500,281100,279100,279e3,262800,263e3,263800,262300,262800,280300,304600,306800
