"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03"
"Warner Robins, GA",230,154950,150000,150000,149900,149900,148950,149900,148000,149900,147000,145000,142900,144900,139900,144900,141000,138250,139900,136900,139900,139900,138950,137412,135500,134990,134500,136945,134945,139000,139900,139900,141300,139900,134900,133950,129900,134995,133950,137000,138576,140000,139900,139900,139900,136450,131900,131900,129900,134000,134900,139500,140000,145250,145000,142900,140000,139900,140000,140000,140000,145000,144250,144900,144900,147500,145775,145250,144999,145000,145800,145000,144974,143750,144900,146500,149000,150000,155000,156000,159000,161500,160000,159900,155950,154900,159900,161900,168000,175000,179500,177000,179000,187000,179900,184300,181900,184900,185000,189900,189900,195000,189750,187000,189900,191000,194550,197900,195000,197500,194900,194900
"Blacksburg, VA",231,189900,189900,191250,189900,190750,189950,194250,194500,194000,193950,193250,189900,189000,178450,188000,189925,189925,189900,189900,189900,189900,188000,185000,185000,184900,182500,185000,185000,184900,185950,189000,189900,185000,179900,179900,179900,175617.5,179900,179900,180500,179900,175000,175000,169900,169000,168200,165000,165000,179900,175000,179000,179900,182950,182500,180500,179900,179990,179800,177700,174450,170000,178900,182500,185000,185000,189000,187500,184500,188450,184900,187000,184900,184275,191000,192000,190500,189900,199000,193500,193000,190000,189900,185900,181000,175500,188250,194900,202000,209950,205000,199925,195000,199900,2e+05,214900,209900,204950,209000,199974.5,214500,210000,199900,197500,195000,194950,194950,195500,199250,199000,204450,214900
"Jacksonville, NC",232,189900,189900,189900,187700,189900,187950,186500,189000,188500,187250,187000,185900,184000,179000,180000,175975,175950,174500,173600,170000,169900,169900,170000,169900,169900,169900,170000,170000,169900,167900,166900,165000,164000,164900,159900,164000,164500,164900,167000,167900,169900,171900,171000,169900,169900,169500,172000,166900,171900,169000,169900,169000,169000,169000,167500,168000,169000,159900,159900,160000,160000,165000,165000,164900,160000,159900,160000,155450,159500,157900,158900,158500,159900,161500,165000,164900,159900,158900,155000,156000,155000,153000,155000,155000,154900,159000,161500,165000,167000,167700,168450,166000,168500,169900,169900,170000,170945,174700,177995,175000,177641,175000,176825,175000,175000,172900,174499.5,174900,179000,180000,186990
"Redding, CA",233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264650,265000,265000,265500,254500,254500,264000,269000,265000,269000,279000,269000,269999.5,264800,264900,270000,269450,275000,279500,298925,289000,289900,285000,278250,284997.5,287000,289000,295000,299800,299999,304950,309000,309900,302485,299900,299900,299900,299954,299900,299900,299900,299900,294900
"Monroe, LA",234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134900,139000,138400,140000,142500,145000,147500,144450,137500,135250,136950,129900,134900,136500,139900,144700,145388.5,150000,153000,151600,149900,149900,145000,149900,151000,149700,150250,159500,158950,163000,164900,160000,164000,169500,174900,175000,179000,184900,190000,190000,194250,195000,196150,197000,202234,199900,199700,198500,192000,198500,205000,215000,215000,215000,215000,215900,210000,220000,219250,215000,214900,210000,209900,209900,215000,215000,209900,209900,207700,209325,207700,207000,207000,214000
"Joplin, MO",235,109000,104000,102250,108000,109000,108900,107500,107000,104950,104500,99000,95000,94500,97700,98000,99900,104900,114900,115000,117160,114950,114500,113300,109900,109900,109000,105900,109900,112900,110900,109900,110000,107200,104900,99900,103000,104000,104000,104900,103000,108000,109900,109900,111000,114900,114900,114900,112000,112700,110700,114500,117000,119900,123909.5,124900,121700,124500,120000,123000,122250,123900,124900,126000,129900,134000,129900,125000,129000,127500,124500,123700,123579.5,124900,123800,125234,124900,123900,125000,127000,129900,124900,124900,124900,122900,127500,129900,129900,134900,134900,132500,139822.5,135000,135000,134000,134500,135600,134900,134382,139900,139900,139900,139900,140000,144900,145000,144914,144928,145000,144900,150000,150000
"El Centro, CA",236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,228000,235000,235000,235000,234450,229950,231000,234065,224950,220000,239000
"Terre Haute, IN",237,88450,89000,89900,89900,89900,89900,89900,87700,89900,89900,89000,85000,85000,88900,89700,89900,89900,89900,89900,89900,89900,89900,89900,87500,87500,85900,89900,85900,88950,89900,88700,84900,84900,82000,79900,79900,79900,82500,85000,84900,85900,87000,84900,84900,84900,84500,84900,82900,80100,84900,84900,87700,87500,89900,89900,85800,84900,79900,82500,79900,79900,87600,85000,84250,90000,92900,94900,93500,89900,89900,89500,84950,86400,89900,82900,89900,90000,90000,98500,97900,94950,98750,89900,89900,89900,89900,89900,95000,98900,99900,98900,97200,94900,92700,89900,84900,84900,89900,93400,109900,109900,109900,109450,112700,109500,108450,109000,101450,1e+05,99900,104900
"Muskegon, MI",238,84900,89900,89900,89900,94500,93900,89900,89900,89900,89900,89900,89800,84500,83634,84900,84900,89900,84900,84900,84900,84900,84900,84900,79900,79900,79900,79900,82900,82900,80000,79900,79900,79900,81250,79900,80000,79900,83000,87700,92500,94900,98900,99900,98900,97250,94949.5,94900,89950,89900,89900,94330,99900,110000,102900,99900,99900,99900,93900,89900,87500,87000,89500,99500,1e+05,104900,99900,105450,104900,104900,99000,97450,89900,89900,84900,92900,109600,115450,119900,129900,119950,119900,119900,117500,117200,114900,114900,119900,126000,129900,139900,139900,134900,129900,134900,129900,125000,129900,135000,144900,146900,149000,146900,147900,139900,134900,139900,139900,134900,134900,134900,149900
"East Stroudsburg, PA",239,199642,199000,199000,198950,196500,195000,192965,194900,196850,195000,194500,189000,185900,179900,179900,179900,179900,176999,175000,174900,174900,174000,169900,169000,164500,164500,160000,161700,159900,159900,159000,155250,154900,154000,155000,149999,149900,149900,154900,154900,157200,154000,155000,150000,149900,152000,150000,149900,149844,148500,149000,149900,149900,149900,149900,149000,145900,140000,139900,139000,138749.5,134900,139500,139900,144900,144900,147000,147000,148000,149000,149000,144900,144900,139900,139900,143000,148900,149000,149900,149500,149900,149500,149900,150000,149900,149900,155000,159000,159900,159900,159900,165000,159900,159999,159900,155912.5,159000,156900,159000,160000,165000,164900,169000,166950,169000,169000,169900,169000,169000,167212.5,170000
