"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06"
"Fayette County","WV","Beckley","54","019",1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121250,119950,110000,103900,99950,99500,99000,94900,95000,95000,93950,108450,99000,95000,95000,98337.5,99900,99900,90000,95000,94400,104450,97000,105000,114750,113900,109000,109500,105000,108000,99900,97450,99000,105000,114900,99950,99000,99900,99900,99000,97750,99250,99900,92000,84900,89900,89900,89950,89900,92000,91879,96000,92000,91429,89000,87995,89950,94900,94900,95000,95000
"Lincoln County","OR","Newport","41","041",1039,349000,349000,349000,329000,327000,325000,324700,319000,315000,299500,299500,294950,299000,289500,299000,299000,299000,289700,289000,285000,282400,275000,269000,254900,265000,260000,259000,259000,259000,259000,260000,269000,259000,259000,259900,259900,269500,274900,274900,275000,279000,277000,279000,279000,275000,275000,279000,279000,279000,275000,275000,275000,265000,268000,279000,279900,280000,279700,289000,284450,279950,290000,295000,295000,289000,289000,291800,299000,298500,299000,299000,295000,298250,289000,298000,304500,299750,299900,299999,299900,3e+05,309000,315000,319950,319950,325000,315000,324900,325000,325000,325000,325000,335000,335000,339975,339000,339000,338313,349000,350000,349500,349000,334250,349000,345000,349000,339000,349900,342900,349000,352500,366000,364900,369000
"Medina County","TX","San Antonio-New Braunfels","48","325",1040,235000,222900,199450,199900,194900,199000,202250,215000,221500,218200,211000,202112,198500,190000,195000,186525.5,201434,229000,228500,224700,224950,219950,219450,214364,215000,209900,209474.5,235000,238000,238500,227000,224900,225000,220000,206947,215152,229000,228500,228500,225000,222401,225000,239000,239000,244700,229500,234750,235000,235000,233950,237550,249000,250000,252472.5,244900,248250,244785,247000,240000,230236.5,235000,230000,225000,221450,248500,250000,269000,250000,279000,265000,265000,249000,249000,220200,209450,215000,234950,238750,245000,245000,234970,250950,265000,283000,283000,295000,298770,299194,297999,294000,293574,287645,285000,285000,290000,296700,286495,315000,285000,297000,296000,295000,295000,309450,318995,315000,325666,315000,309000,299000,309000,292987,306000,292000
"Auglaize County","OH","Wapakoneta","39","011",1041,124900,124900,124900,119900,118700,119000,118500,118000,118900,119000,119900,117900,115000,116450,114900,114900,114900,114900,114900,113950,110900,112700,109900,109900,109900,115000,116900,109900,116900,114900,110000,109450,109950,107400,109900,104900,109900,104900,104900,105900,106900,104900,105000,105000,109900,109900,107500,107700,107500,109900,111000,114900,117000,115900,115000,115900,114900,110450,114200,107000,107900,105750,114900,115900,119900,119900,119200,119900,120950,122450,121950,119950,122000,121000,124900,124900,129200,129900,128250,127000,125000,125000,126450,127000,126350,124900,122500,122250,128900,129900,129900,134450,130000,130000,132950,134999,132250,135000,139350,144900,145000,143500,144900,139900,139900,149900,144950,149900,154950,154050,158950,161200,161400,159900
"Saint John the Baptist Parish","LA","New Orleans-Metairie","22","095",1042,150500,149900,150500,154900,155800,152900,149900,157000,154850,155400,154850,149900,148700,142350,139000,139900,139900,139900,139900,135500,141450,135000,130000,129000,126600,125000,125000,136800,144000,139897,149500,148000,144900,141948.5,146200,139897,137450,143900,146200,150999.5,154000,160000,154000,150000,149950,149950,144700,145500,142450,145450,145900,149900,149999,149900,148000,144900,139900,141000,139900,138900,144000,143450,149000,143000,143000,139900,134900,134900,130950,135000,137000,139900,139900,137100,139900,140000,142000,138000,141750,139900,155000,157000,164000,160000,158500,146500,144500,156000,155500,155000,156250,159900,159894,154950,155000,150000,155000,158500,159900,164250,164250,166000,165500,159500,163000,162500,160000,156500,159900,165000,159999.5,165000,168500,159900
"Huntingdon County","PA","Huntingdon","42","061",1043,,,,,,,,,,,,,,,,,,199900,199900,187450,199949.5,205900,199949.5,199900,199000,194500,187450,204900,206573.5,222450,207450,199999,204900,199900,196200,196200,199900,201900,184250,164900,160000,169900,164900,159900,165000,139500,149900,153700,159950,149900,159900,159900,159950,159900,159900,158450,149900,144900,139900,129999,129900,139900,149000,149900,173000,179900,179000,149900,145900,149900,160900,149900,159900,158950,154900,174900,165000,165950,169900,147000,150950,150000,150000,144900,138500,139000,131950,127700,129900,144900,134900,142999,149900,148500,147750,144900,134900,149900,140000,162200,169900,169900,164900,164500,149900,149900,139900,149900,139000,139450,154900,159950,163000,159900
"Barron County","WI",,"55","005",1044,139900,142500,144900,149000,149700,149900,150000,149900,149900,149900,149900,139900,139900,139900,149900,149900,149900,149900,149900,149900,149900,149900,149825,139900,139900,129900,139900,145800,139900,141900,144900,139900,139000,139900,136450,134200,132500,129900,138000,139947.5,139900,144900,139900,139900,138400,137950,139050,134900,132750,134900,134900,139000,145950,149900,154900,149900,149900,149900,149900,139900,139900,136250,139000,149900,149900,149900,159000,155000,153000,152950,149900,149900,149900,154000,149900,150000,155000,154900,150000,154900,154900,149900,144500,142500,149450,149900,149900,164900,169700,172450,174200,172900,172900,171450,172900,174900,179900,179250,179900,179900,185000,189900,189900,185000,185000,184850,179250,179000,176350,178400,187600,189000,187600,184800
"Logan County","OH","Bellefontaine","39","091",1045,118950,119900,124900,123900,122900,119900,121900,120950,122900,119900,119900,117900,114900,115000,114900,115000,124900,129187.5,128400,129900,129900,129900,129900,129500,125000,126450,125000,125000,125000,124900,124900,120000,122500,119900,115900,110000,109000,104900,109900,113400,124900,124900,126450,123900,124450,129900,124950,125000,125000,123900,123900,125900,129900,129000,129900,127000,129900,129900,128000,125000,121900,119900,119900,124900,128500,129900,134900,134900,134900,128750,128200,125000,124800,122900,125000,129500,134900,139900,139900,139900,134900,141900,139900,135000,129450,134900,139900,137700,139900,149900,146900,139949.5,139410,139900,139000,139450,133900,139450,146900,159900,149900,159900,154500,149900,139900,141400,139900,149900,149900,152950,149900,159900,149900,149900
"Pittsburg County","OK","McAlester","40","121",1046,119000,115000,114950,117000,120000,124900,110000,119000,114900,119000,127450,119925,115000,129900,124900,119900,119975,134700,129500,124900,120000,119950,119900,118500,115000,118250,124900,115000,122450,116500,124000,122400,119900,118250,119900,119900,119900,115000,115000,116700,115500,124750,124900,124500,119450,118200,115000,119650,119900,115000,114999.5,115000,116250,119950,117500,119700,119900,125000,124700,125000,124950,125000,128499.5,125000,119900,123500,124950,129000,125000,125000,129500,122950,119900,115000,124900,125000,129950,130000,129900,129900,125000,123700,122500,119000,120000,119900,121430,128950,129900,128950,132900,129900,129900,124900,126250,129900,129900,133000,139000,148200,147900,144900,144900,145000,149900,149900,149000,150000,149000,149900,141200,136000,134900,144000
"Calaveras County","CA",,"06","009",1047,295000,289000,283150,279900,289000,277000,275000,269000,264375,262325,255000,249000,249000,239000,240000,235000,239000,235000,239000,239000,239000,229000,219000,215500,199900,199000,196700,199000,207000,209000,209990,212400,216000,225000,225000,220000,217500,224950,225000,249000,259000,272250,279000,278800,275000,275000,285000,285000,285000,285000,285000,289000,299500,299500,299000,293500,297250,295000,293750,297000,299000,309000,299900,299900,299000,290000,295000,295000,298750,299000,299900,304900,309950,329900,329000,329000,329250,329000,325000,324900,324999,329000,324500,339000,339000,334200,339000,344950,349989,350000,359000,349000,345000,349000,349000,349000,349000,349000,349000,350000,349450,359900,369000,366500,362750,359000,359000,355000,359000,357500,358750,375000,379000,369900
