RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
20,Idaho,39,1216,1331,1465,1482,1338,1382,1308,1102,793,872,861,900,1130,1328,1403,1627,1677,1548,1550,1695,1596,1242,1053,1120,1617,1859,1814,1756,1294,1514,1501,1427,1317,1474,1107,1159,1566,1561,1609,1647,1498,1615,1300,1458,1280,1272,1174,1210,1432,1513,1542,1716,1623,1711,1288,1603,1422,1369,1171,1199,1525,1774,2135,2078,2251,2159,1731,1663,1390,1348,1299,1349,1622,2051,2266,2340,2434,2130,2075,2064,1560,1634,1391,1458,2034,2463,2572,2845,2797,2589,2605,2348,1692,2093,1574,1607,2210,2616,2929,3369,2985,3163,2840,2617,2335,2301,1707,1543,2346,2563,3290,3590,3205,3502,3167,2993,2590,2429,1905,1826,2680,2868,3504,3568,3318,3618,2760,2909,2366,1786,1513,1673,2052,2457,2791,2726
18,Hawaii,40,1284,1379,1288,1158,1058,965,958,914,676,884,531,672,811,781,831,992,1253,951,1031,1124,1045,1144,799,794,1153,1250,1116,1344,1024,999,1083,974,890,1259,823,980,1217,1146,1108,1291,1089,1143,1233,991,1473,1186,835,986,1154,1127,1167,1100,1051,1197,1101,1217,1138,1429,926,958,1231,1486,1359,1409,1384,1518,1349,1317,1265,1393,1114,1049,1303,1465,1545,1387,1459,1385,1375,1558,1118,1499,1185,1141,1447,1531,1538,1688,1687,1459,1523,1485,1190,1480,1180,1450,1584,1619,1583,1624,1538,1634,1552,1384,1387,1687,1638,1164,1565,1508,1736,1700,1533,1641,1582,1583,1515,1540,1284,1158,1352,1369,1333,1426,1252,1366,1211,1202,1165,1572,1040,941,1580,1472,1032,
28,Maine,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,1678,1718,1494,1510,1425,1231,988,744,1021,1194,1469,1720,1694,1769,1450,1526,1341,1130,696,601,898,1046,1330,1500
39,New Hampshire,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2635,2462,2569,2110,2162,1890,1691,1216,978,1407,1645,2096,2493,2589,2623,2087,2131,1839,1613,1054,1065,1316,1613,2135,2600
50,Rhode Island,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670,1338,1414,1251,1328,1123,1161,908,758,942,1035,1330,1652,1536,1546,1174,1250,1230,929,747,694,902,1057,1479,
35,Montana,44,600,609,734,794,728,767,621,594,363,406,298,390,488,487,648,796,812,721,750,765,679,574,389,404,630,769,829,758,610,624,608,609,546,561,399,407,552,576,595,713,628,759,674,623,553,561,415,482,611,661,765,843,804,749,746,768,684,613,529,524,664,745,980,959,1034,972,828,817,650,620,389,485,575,733,893,1025,1048,1038,912,877,611,763,549,525,829,974,1094,1255,1387,1194,1190,1155,801,906,680,593,821,1017,1155,1400,1184,1371,1243,1087,1024,876,704,592,958,942,1211,1575,1283,1423,1257,1188,979,900,681,691,894,895,1352,1570,1383,1692,1309,1393,1128,959,765,781,998,1123,1415,
13,Delaware,45,630,695,747,747,715,675,703,611,493,606,358,370,492,495,566,682,787,628,687,666,733,677,383,351,530,587,733,942,587,496,529,450,541,535,431,380,495,508,580,586,579,569,564,573,814,945,747,732,892,884,1089,1126,1033,1126,857,952,941,981,770,679,758,972,1081,1042,1194,1198,978,1060,925,984,826,680,833,963,1038,1058,1174,1081,941,1082,587,685,421,498,597,541,592,1087,1232,1062,1008,1214,623,1104,834,844,895,1050,1174,1422,1174,1376,1213,1236,1163,1308,1062,903,1190,1115,1530,1663,1526,1588,1349,1385,1392,1332,1177,940,1155,1343,1380,1445,1548,1571,1262,1549,1314,1245,953,906,1158,1426,1528,1807
52,South Dakota,46,137,199,254,235,271,210,199,194,149,153,108,107,147,200,258,304,273,275,250,273,255,237,149,140,202,257,313,367,218,232,244,201,213,213,141,157,176,275,279,266,251,360,355,330,268,249,199,151,256,330,490,445,461,500,441,502,379,428,266,253,285,428,488,489,610,586,520,564,406,441,311,273,397,478,595,661,649,639,511,458,220,147,106,111,141,203,260,302,363,372,311,367,262,305,193,234,314,364,483,606,519,540,500,466,356,317,313,242,450,479,723,807,749,676,595,427,433,399,256,301,487,535,640,767,762,783,598,647,486,384,310,316,,,,
3,Alaska,47,561,652,727,849,807,841,770,709,477,509,357,431,505,525,594,749,841,788,749,811,680,578,349,389,623,746,717,944,626,697,675,649,582,606,424,377,502,637,673,732,719,810,736,589,555,556,366,401,537,555,789,849,829,949,746,756,659,578,451,481,593,712,913,848,937,1027,847,875,696,643,491,507,604,555,651,755,1e3,934,853,885,635,701,509,536,711,825,763,1018,905,830,810,779,524,694,488,488,676,672,805,1e3,908,971,808,738,726,668,520,480,641,666,855,985,804,947,847,773,650,617,510,490,722,758,998,1045,958,1080,886,941,665,672,444,513,703,793,902,750
37,North Dakota,48,420,483,582,676,682,662,564,606,431,382,242,308,374,427,478,521,566,708,943,738,638,483,249,300,456,564,735,888,559,588,564,630,575,510,356,282,395,460,391,582,552,653,606,614,525,593,417,498,520,609,745,800,724,785,622,776,659,644,429,425,462,611,787,793,900,871,739,852,753,623,424,436,475,604,779,919,883,851,770,844,666,499,392,322,560,618,667,650,711,744,798,805,563,631,389,412,461,613,710,805,826,804,733,825,646,740,404,368,543,549,813,995,739,833,721,711,656,567,378,342,552,631,759,950,764,818,701,812,640,546,379,421,517,453,660,
